time,src,dst,protocol,length
1784852069.1019933,192.168.8.138,172.64.155.209,6,54
1784852069.1102638,192.168.8.138,172.64.155.209,6,1454
1784852069.1102638,192.168.8.138,172.64.155.209,6,1454
1784852069.1112754,192.168.8.138,172.64.155.209,6,1454
1784852069.1122875,192.168.8.138,172.64.155.209,6,1454
1784852069.1132991,192.168.8.138,172.64.155.209,6,1454
1784852069.1142883,192.168.8.138,172.64.155.209,6,1454
1784852069.1152897,192.168.8.138,172.64.155.209,6,670
1784852069.1157985,192.168.8.138,172.64.155.209,6,1367
1784852069.11681,192.168.8.138,172.64.155.209,6,1454
1784852069.11681,192.168.8.138,172.64.155.209,6,1454
1784852069.117815,192.168.8.138,172.64.155.209,6,1454
1784852069.1188073,192.168.8.138,172.64.155.209,6,1454
1784852069.1198118,192.168.8.138,172.64.155.209,6,1454
1784852069.1198118,192.168.8.138,172.64.155.209,6,1454
1784852069.1208107,192.168.8.138,172.64.155.209,6,670
1784852069.1208107,192.168.8.138,172.64.155.209,6,1312
1784852069.1218145,192.168.8.138,172.64.155.209,6,1454
1784852069.1228075,192.168.8.138,172.64.155.209,6,1454
1784852069.1228075,192.168.8.138,172.64.155.209,6,1454
1784852069.1238072,192.168.8.138,172.64.155.209,6,1454
1784852069.1238072,192.168.8.138,172.64.155.209,6,1454
1784852069.1248088,192.168.8.138,172.64.155.209,6,1454
1784852069.1258094,192.168.8.138,172.64.155.209,6,670
1784852069.1258094,192.168.8.138,172.64.155.209,6,1374
1784852069.1268082,192.168.8.138,172.64.155.209,6,1454
1784852069.1279197,192.168.8.138,172.64.155.209,6,1454
1784852069.1289077,192.168.8.138,172.64.155.209,6,1454
1784852069.1289077,192.168.8.138,172.64.155.209,6,1454
1784852069.1299126,192.168.8.138,172.64.155.209,6,1454
1784852069.1299126,192.168.8.138,172.64.155.209,6,1454
1784852069.1299126,192.168.8.138,172.64.155.209,6,670
1784852069.1309211,192.168.8.138,172.64.155.209,6,1324
1784852069.1309211,192.168.8.138,172.64.155.209,6,1454
1784852069.1309211,192.168.8.138,172.64.155.209,6,1454
1784852069.1319096,192.168.8.138,172.64.155.209,6,1454
1784852069.1319096,192.168.8.138,172.64.155.209,6,1454
1784852069.1319096,192.168.8.138,172.64.155.209,6,1454
1784852069.132912,192.168.8.138,172.64.155.209,6,1454
1784852069.132912,192.168.8.138,172.64.155.209,6,670
1784852069.1339185,192.168.8.138,172.64.155.209,6,1357
1784852069.1339185,192.168.8.138,172.64.155.209,6,1454
1784852069.1354396,192.168.8.138,172.64.155.209,6,1454
1784852069.1354396,192.168.8.138,172.64.155.209,6,1454
1784852069.1364555,192.168.8.138,172.64.155.209,6,1454
1784852069.137455,192.168.8.138,172.64.155.209,6,1454
1784852069.137455,192.168.8.138,172.64.155.209,6,1454
1784852069.137455,192.168.8.138,172.64.155.209,6,670
1784852069.1384673,192.168.8.138,172.64.155.209,6,1317
1784852069.1394534,192.168.8.138,172.64.155.209,6,1454
1784852069.1394534,192.168.8.138,172.64.155.209,6,1454
1784852069.1404552,192.168.8.138,172.64.155.209,6,1454
1784852069.1404552,192.168.8.138,172.64.155.209,6,1454
1784852069.1414583,172.64.155.209,192.168.8.138,6,54
1784852069.1414583,172.64.155.209,192.168.8.138,6,54
1784852069.1414583,172.64.155.209,192.168.8.138,6,54
1784852069.1424558,192.168.8.138,172.64.155.209,6,1454
1784852069.1424558,192.168.8.138,172.64.155.209,6,1454
1784852069.143456,192.168.8.138,172.64.155.209,6,1454
1784852069.1444542,192.168.8.138,172.64.155.209,6,1454
1784852069.1444542,192.168.8.138,172.64.155.209,6,1454
1784852069.1454532,192.168.8.138,172.64.155.209,6,1454
1784852069.1504557,172.64.155.209,192.168.8.138,6,54
1784852069.1514513,172.64.155.209,192.168.8.138,6,54
1784852069.151959,172.64.155.209,192.168.8.138,6,54
1784852069.151959,172.64.155.209,192.168.8.138,6,54
1784852069.1529698,172.64.155.209,192.168.8.138,6,54
1784852069.1539743,192.168.8.138,172.64.155.209,6,1454
1784852069.1539743,192.168.8.138,172.64.155.209,6,1454
1784852069.1549795,192.168.8.138,172.64.155.209,6,1454
1784852069.1549795,192.168.8.138,172.64.155.209,6,1454
1784852069.15597,192.168.8.138,172.64.155.209,6,985
1784852069.1713195,172.64.155.209,192.168.8.138,6,54
1784852069.171829,172.64.155.209,192.168.8.138,6,54
1784852069.172337,172.64.155.209,192.168.8.138,6,54
